place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJwbNTDUQUrjsRCrKZ4KUQEUA,"Vistas - Web Design Company in Bangalore, Web Development, SEO Services, Digital Marketing, eCommerce Website Developers",,False,115,https://vistasadindia.com/,"Vistas - Web Design Company in Bangalore, Web Development, SEO Services, Digital Marketing, eCommerce Website Developers (Owner)",https://www.google.com/maps/contrib/117605809797848324032,https://lh5.googleusercontent.com/p/AF1QipOHcaU-XPxkGMGfr7eeod94ab4Um9TA17S0dauq=w408-h306-k-no,Website designer,"Website designer, Advertising agency, E commerce agency, E-commerce service, Graphic designer, Internet marketing service, Marketing agency, Web hosting company",4.2,9:30 AM-7:30 PM,Sunday,+91 96866 97974,"Door No 313, Vistas - Web Design Company in Bangalore, Web Development, SEO Services, Digital Marketing, eCommerce Website Developers, 19th Main Road, 6th Block, Koramangala, Bengaluru, Karnataka 560095, India","media, project, experience, content, efficient, writing, money, creative","https://www.google.com/maps/place/Vistas+-+Web+Design+Company+in+Bangalore,+Web+Development,+SEO+Services,+Digital+Marketing,+eCommerce+Website+Developers/data=!4m7!3m6!1s0x3bae14440d53b3c1:0x401110a5e099b20a!8m2!3d12.9417141!4d77.6228144!16s%2Fg%2F1tf273bk!19sChIJwbNTDUQUrjsRCrKZ4KUQEUA?authuser=0&hl=en&rclk=1"
ChIJsQ4cfGE9rjsREiBuDRdXl-M,"Techiesys- Web Design Company in Bangalore,Website Development, eCommerce Mobile apps UIUX , Digital Marketing Agency",,False,65,https://www.techiesys.in/,"Techiesys- Web Design Company in Bangalore,Website Development, eCommerce Mobile apps UIUX , Digital Marketing Agency (Owner)",https://www.google.com/maps/contrib/108447714534329007166,https://lh5.googleusercontent.com/p/AF1QipNMI6LoFPdPb3bWnLpijIZw63Pm914dAFieV8s_=w426-h240-k-no,Website designer,"Website designer, Design agency, Information services, Internet marketing service, Software company, Software training institute, Web hosting company",4.8,9 AM-8 PM,Sunday,+91 99003 44725,"Techiesys- Web Design Company in Bangalore,Website Development, eCommerce Mobile apps UIUX , Digital Marketing Agency, #65/2, Shree Ganesh towers 3rd floor Shop no 1,2, Near Unilet opp sumangali Silks, B Narayanaswamappa Rd, Yeswanthpur, Bengaluru, Karnataka 560022, India","service, web development, experience, work, skills, quality","https://www.google.com/maps/place/Techiesys-+Web+Design+Company+in+Bangalore,Website+Development,+eCommerce+Mobile+apps+UIUX+,+Digital+Marketing+Agency/data=!4m7!3m6!1s0x3bae3d617c1c0eb1:0xe39757170d6e2012!8m2!3d13.024283!4d77.557368!16s%2Fg%2F11b6gm4bsx!19sChIJsQ4cfGE9rjsREiBuDRdXl-M?authuser=0&hl=en&rclk=1"
ChIJy4yTLYgVrjsRgjvBMU6mrgs,Web Feb,,False,50,https://webfeb.in/,Web Feb (Owner),https://www.google.com/maps/contrib/109242536580171194789,https://lh5.googleusercontent.com/p/AF1QipPOemxgVy_xcPRbPLBzN0C6tEkwazkydG6Ibz80=w427-h240-k-no,Website designer,Website designer,5,Open 24 hours,,+91 81510 06644,"Web Feb, 138, 1st 'A' Main, 17th Cross, BSK 1st Stage, Gangamma Layout, Ashok Nagar, Bengaluru, Karnataka 560050, India","company, web development, experience, quality, program, learn, app, training, creative",https://www.google.com/maps/place/Web+Feb/data=!4m7!3m6!1s0x3bae15882d938ccb:0xbaea64e31c13b82!8m2!3d12.934332!4d77.562593!16s%2Fg%2F11c5zzmn0z!19sChIJy4yTLYgVrjsRgjvBMU6mrgs?authuser=0&hl=en&rclk=1
ChIJ9eMVKwAVrjsR4jH6PD98m7g,Webgen,,False,37,https://www.webgen.in/,Webgen (Owner),https://www.google.com/maps/contrib/117156846212994871472,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=B6Mn7LxgNxurQD0JgC-8Sg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=172.21611&pitch=0&thumbfov=100,Website designer,"Website designer, Advertising agency, Internet marketing service, Marketing agency, Web hosting company",4.1,Open 24 hours,,+91 72591 04089,"Webgen, 73, 10th Main Rd, KEB Colony, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560029, India",company,https://www.google.com/maps/place/Webgen/data=!4m7!3m6!1s0x3bae15002b15e3f5:0xb89b7c3f3cfa31e2!8m2!3d12.9198523!4d77.6074941!16s%2Fg%2F12q4t3y8x!19sChIJ9eMVKwAVrjsR4jH6PD98m7g?authuser=0&hl=en&rclk=1
ChIJpTu-a4sVrjsRmk4jnf-6-Ak,ABS,,False,28,https://www.aerobusinesssolutions.com/,ABS (Owner),https://www.google.com/maps/contrib/106884369278136153648,https://lh5.googleusercontent.com/p/AF1QipPeSSH5tGmcGx9W2ZlpUk1-UcFLUzCZGyjzakRd=w426-h240-k-no,Website designer,"Website designer, Internet marketing service, Marketing agency, Training centre",5,10 AM-7 PM,Sunday,+91 99166 79810,"ABS, 30, Viralam Arcade, 1st Floor, 8th F Main Rd, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011, India","work, project, price",https://www.google.com/maps/place/ABS/data=!4m7!3m6!1s0x3bae158b6bbe3ba5:0x9f8baff9d234e9a!8m2!3d12.9310745!4d77.5836484!16s%2Fg%2F11h4qbjzrb!19sChIJpTu-a4sVrjsRmk4jnf-6-Ak?authuser=0&hl=en&rclk=1
