place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,4490,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MTkyNjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/110085201115745742407,https://lh5.googleusercontent.com/p/AF1QipNkro2KL-N_HNPG7VbbLmnwqzEmgKITc-KJy_2-=w408-h544-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.4,Open 24 hours,,(604) 718-1075,"McDonald's, 1527 Main St, Vancouver, BC V6A 2W5","drive thru, homeless, bathroom, play area, big mac, security guard, mcmuffin, quarter pounder, wifi, science",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x54867166b17f553b:0xbd71c75a4354d4eb!8m2!3d49.2718666!4d-123.1006106!16s%2Fg%2F1tptq99t!19sChIJO1V_sWZxhlQR69RUQ1rHcb0?authuser=0&hl=en&rclk=1
ChIJd7pHyHtzhlQR9d68GQ7l70A,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,2359,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MTk1MTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/108100434825326528017,https://lh5.googleusercontent.com/p/AF1QipPlN8A4OMKv4n5Xa5OzWjlM1_Pgp9kYq4hAsTPO=w408-h306-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.1,Open 24 hours,,(604) 718-1055,"McDonald's, 2095 W 41st Ave, Vancouver, BC V6M 1Y7","drive thru, parking, renovation, kiosk, ketchup, happy meal, counter, patio, BLT, high school",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x5486737bc847ba77:0x40efe50e19bcdef5!8m2!3d49.2348083!4d-123.1547561!16s%2Fg%2F1v9tzllc!19sChIJd7pHyHtzhlQR9d68GQ7l70A?authuser=0&hl=en&rclk=1
ChIJs0Fi0n9xhlQRFNqcc3koAIE,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,1891,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjAwNTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/100639573062452122139,https://lh5.googleusercontent.com/p/AF1QipMvIau22aQdifBs9Yz1G5Iuh3FvarPKWJ0rb_7C=w532-h240-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.5,Open 24 hours,,(604) 718-1062,"McDonald's, 891 Granville St, Vancouver, BC V6Z 1K7","homeless people, clean, tables, floor, night, smells, mcdouble, kiosk, security, mcflurry",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x5486717fd26241b3:0x81002879739cda14!8m2!3d49.2805624!4d-123.1214172!16s%2Fg%2F1vpq6l20!19sChIJs0Fi0n9xhlQRFNqcc3koAIE?authuser=0&hl=en&rclk=1
ChIJwzHipIFxhlQRxElqKULGPnI,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,1299,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjA1ODQtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/109083032689271919597,https://lh5.googleusercontent.com/p/AF1QipNzmLyyX6BIJa59KGLwjweiFd3OYzfq1fD-JiU=w408-h306-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.4,Open 24 hours,,(604) 718-1115,"McDonald's, 1055 W Georgia St Suite #120, Vancouver, BC V6E 3P2","clean, homeless, app, big mac, morning, door, garbage, health, kiosk, gloves",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x54867181a4e231c3:0x723ec642296a49c4!8m2!3d49.2847911!4d-123.1211008!16s%2Fg%2F1tfptz9w!19sChIJwzHipIFxhlQRxElqKULGPnI?authuser=0&hl=en&rclk=1
ChIJ81QafB90hlQRQLI8OmR2cFE,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,1263,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MTk1ODctNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/107636025099423659690,https://lh5.googleusercontent.com/p/AF1QipMGpK8nzn1vGLRc4ZVNmcixAGIPxW65Ev233hL2=w408-h306-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.4,6 a.m.-12 a.m.,,(604) 718-1160,"McDonald's, 5661 Victoria Dr, Vancouver, BC V5P 3W2","parking, coffee, cashier, door, big mac, space, floor, ice cream, chatting, stairs",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x5486741f7c1a54f3:0x517076643a3cb240!8m2!3d49.2330972!4d-123.0657903!16s%2Fg%2F1tfjqd63!19sChIJ81QafB90hlQRQLI8OmR2cFE?authuser=0&hl=en&rclk=1
ChIJgyy1yKpzhlQRfu6SZXQC9ZM,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,1070,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MTk1NzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/103533491646862462432,https://lh5.googleusercontent.com/p/AF1QipOGTcbC6CwgQez9Dj9D_LiDlxuRveglOwRPaIEy=w408-h240-k-no-pi-0-ya136.99998-ro-0-fo100,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.5,Open 24 hours,,(604) 718-1017,"McDonald's, 3308 W Broadway, Vancouver, BC V6R 2B2","clean, parking, nuggets, homeless, big mac, morning, play area, kiosks, renovated, check",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x548673aac8b52c83:0x93f502746592ee7e!8m2!3d49.2641375!4d-123.1780474!16s%2Fg%2F1tdm7_yv!19sChIJgyy1yKpzhlQRfu6SZXQC9ZM?authuser=0&hl=en&rclk=1
ChIJQ13qC4hxhlQR1fbnIdZ41WE,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,809,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjAzMTctNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/114759455871579506157,https://lh5.googleusercontent.com/p/AF1QipOWOOM89qT1UJK-z4Fm-FEzG2oay9bvsoPpXFFH=w408-h306-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.4,Open 24 hours,,(604) 718-1020,"McDonald's, 1701 Robson St, Vancouver, BC V6G 1C9","coffee, night, homeless, big mac, morning, cone, job, bathroom, addicts, mcmuffin",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x548671880bea5d43:0x61d578d621e7f6d5!8m2!3d49.2906798!4d-123.1338321!16s%2Fg%2F1tfzm0jb!19sChIJQ13qC4hxhlQR1fbnIdZ41WE?authuser=0&hl=en&rclk=1
