place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJSxi51iV3hlQR0T8nbv0Rmfw,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,3146,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MTk0ODEtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/114394789384620239884,https://lh5.googleusercontent.com/p/AF1QipNex-hFlHm7IfKKs-BeTzOKDQN7rq4lMoMhUSM7=w408-h544-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.5,Open 24 hours,,(604) 718-1090,"McDonald's, 4410 Still Creek Dr, Burnaby, BC V5C 6C6","drive through, parking, play area, kiosks, renovated, head office, egg mcmuffin, mcflurry, stairs, mcgriddle",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x54867725d6b9184b:0xfc9911fd6e273fd1!8m2!3d49.2602993!4d-123.0055038!16s%2Fg%2F1vm_xkt_!19sChIJSxi51iV3hlQR0T8nbv0Rmfw?authuser=0&hl=en&rclk=1
ChIJQYxv_Vh2hlQRYw48kIVpKJQ,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,2652,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjA3MjItNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/115983130207123458070,https://lh5.googleusercontent.com/p/AF1QipME4pS84ed94ldS-192o4oSnM9xvhNpLEp1Gw6Y=w408-h306-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.6,6 a.m.-12 a.m.,,(604) 718-1005,"McDonald's, 4700 Kingsway #1160, Burnaby, BC V5H 4M1","coffee, mall, machine, big mac, night, system, crowd, social distancing, cone, mcflurry",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x54867658fd6f8c41:0x94286985903c0e63!8m2!3d49.2273362!4d-122.9997347!16s%2Fg%2F1tj4ydff!19sChIJQYxv_Vh2hlQRYw48kIVpKJQ?authuser=0&hl=en&rclk=1
ChIJFexDm9V2hlQRiATw_5yHB5k,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,2578,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjA2MTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/107715776832748902065,https://lh5.googleusercontent.com/p/AF1QipP-TeqpmzuqUQaExQpBDNZehJrmKSVe5M0q2TRl=w426-h240-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.4,Open 24 hours,,(604) 718-1050,"McDonald's, 3695 Lougheed Hwy., Vancouver, BC V5M 2A6","drive thru, coffee, parking, big mac, convenient, bagel, patty, self serve, grilled, school",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x548676d59b43ec15:0x9907879cfff00488!8m2!3d49.2659375!4d-123.0243593!16s%2Fg%2F1vntjlcm!19sChIJFexDm9V2hlQRiATw_5yHB5k?authuser=0&hl=en&rclk=1
ChIJkf82NdpwhlQRLCs2T5Z6acY,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,2311,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjA0NTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/113510061718315608724,https://lh5.googleusercontent.com/p/AF1QipO3BEiGcrIvlRAhuJ-E2TohUhxLg2xVZO2cYpHr=w408-h306-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.4,Open 24 hours,,(604) 718-1099,"McDonald's, 3444 E Hastings St, Vancouver, BC V5K 2A6","drive thru, coffee, parking, machine, play area, big mac, mcdouble, kiosk, renovation, homeless",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x548670da3536ff91:0xc6697a964f362b2c!8m2!3d49.280857!4d-123.0305412!16s%2Fg%2F1vzn57l8!19sChIJkf82NdpwhlQRLCs2T5Z6acY?authuser=0&hl=en&rclk=1
ChIJ0XwxmMt3hlQRvFj-e0YbHYw,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,1911,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MTkyNDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/113625459853182356166,https://lh5.googleusercontent.com/p/AF1QipP0i8WFd_LGiRlyiP-r-7NA4PEMHKj7IGQOdyWj=w426-h240-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.2,4 a.m.-12 a.m.,,(604) 718-1035,"McDonald's, 7229 Kingsway, Burnaby, BC V5E 1G5","drive thru, coffee, parking, big mac, egg mcmuffin, straws, training, homeless, ketchup, mcflurry",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x548677cb98317cd1:0x8c1d1b467bfe58bc!8m2!3d49.218623!4d-122.9546133!16s%2Fg%2F1tfg2slx!19sChIJ0XwxmMt3hlQRvFj-e0YbHYw?authuser=0&hl=en&rclk=1
ChIJs3-qDxl2hlQRYrvSpGeJc-c,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,1558,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MTkzNDctNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/107766461808257397843,https://lh5.googleusercontent.com/p/AF1QipOci5WXue7vEpp8Zjy-3c3SG5AmkICGMIGtiwk9=w408-h544-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.4,5 a.m.-11 p.m.,,(604) 453-5530,"McDonald's, 7360 Market Crossing, Burnaby, BC V5J 0A2","drive thru, coffee, morning, window, check, big mac, muffin, convenient, self-serve, angus burger",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x548676190faa7fb3:0xe7738967a4d2bb62!8m2!3d49.200717!4d-122.981084!16s%2Fg%2F1td64_nd!19sChIJs3-qDxl2hlQRYrvSpGeJc-c?authuser=0&hl=en&rclk=1
ChIJI7XUh7RwhlQRRY_kun0WaT8,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,1494,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjAzNTEtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Owner),https://www.google.com/maps/contrib/104347313785054247400,https://lh5.googleusercontent.com/p/AF1QipOyu8ZC8wXaofzbZSFTEkmGf6kDNv0nOzDgkTSm=w408-h306-k-no,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Cafe, Hamburger restaurant, Restaurant",3.6,Open 24 hours,,(604) 718-1015,"McDonald's, 4801 Hastings St, Burnaby, BC V5C 2L1","drive through, parking, coffee, manager, morning, ketchup, egg mcmuffin, check, patty, renovated",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x548670b487d4b523:0x3f69167dbae48f45!8m2!3d49.2812271!4d-122.9943909!16s%2Fg%2F1tj5qfg3!19sChIJI7XUh7RwhlQRRY_kun0WaT8?authuser=0&hl=en&rclk=1
ChIJ2dc6j-N5hlQRXb_0wExtmFs,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,321,https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MTk3MDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,McDonald's (Owner),https://www.google.com/maps/contrib/103579062629913293982,https://lh5.googleusercontent.com/p/AF1QipN3vbWSB125yaCVCYyzmb8RfBsTM0IDWM7OtOuQ=w421-h240-k-no,Hamburger restaurant,"Hamburger restaurant, American restaurant, Breakfast restaurant, Cafe, Fast food restaurant, Restaurant",2.9,8 a.m.-10 p.m.,,(604) 718-1140,"McDonald's, 9855 Austin Ave Suite 300, Burnaby, BC V3J 1N5","cashier, mess, gloves, manager, breakfast, ice cream, nuggets",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x548679e38f3ad7d9:0x5b986d4cc0f4bf5d!8m2!3d49.2519213!4d-122.896107!16s%2Fg%2F1tkf0nxb!19sChIJ2dc6j-N5hlQRXb_0wExtmFs?authuser=0&hl=en&rclk=1
ChIJmQgpI213hlQRul-qIjkYqOs,McDonald's,"Classic, long-running fast-food chain known for its burgers & fries.",False,289,https://www.mcdonalds.com/ca/en-ca.html,McDonald's (Owner),https://www.google.com/maps/contrib/101794944189502509440,https://lh5.googleusercontent.com/p/AF1QipPuY6N9na5MlhW7FL3lu2LUrUG5EcvlqrzAO5Op=w408-h306-k-no,Fast food restaurant,Fast food restaurant,2.4,6:30 a.m.-11 p.m.,,(604) 299-2987,"McDonald's, 4501 Lougheed Hwy. P2501, Burnaby, BC V5C 3Z6","order, management, number, app, cashier, morning, trash, people, kitchen, teenagers",https://www.google.com/maps/place/McDonald%E2%80%99s/data=!4m7!3m6!1s0x5486776d23290899:0xeba8183922aa5fba!8m2!3d49.2666932!4d-123.0021153!16s%2Fg%2F11rwmf300c!19sChIJmQgpI213hlQRul-qIjkYqOs?authuser=0&hl=en&rclk=1
