place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJP0Od0dF2hlQRC2mZ-WyX5vw,PetSmart,"Chain featuring a range of pets, supplies & food (most offer grooming, boarding & other services).",True,1289,https://www.petsmart.ca/stores/ca/bc/vancouver-store1621.html%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle-my-business,PetSmart (Owner),https://www.google.com/maps/contrib/113331262618125292001,https://lh5.googleusercontent.com/p/AF1QipMUcqjhckIULo28IC6Q-xgv4A82wdcfnB-1UCwZ=w408-h306-k-no,Pet supply store,Pet supply store,4.1,9 a.m.-9 p.m.,,(604) 434-1522,"PetSmart, 2860 Bentall St, Vancouver, BC V5M 4H4","fish, grooming, parking, adoption, nails, dog trainer, employee, rats, chain, hamster",https://www.google.com/maps/place/PetSmart/data=!4m7!3m6!1s0x548676d1d19d433f:0xfce6976cf999690b!8m2!3d49.2584849!4d-123.0314781!16s%2Fg%2F1tk9qgdc!19sChIJP0Od0dF2hlQRC2mZ-WyX5vw?authuser=0&hl=en&rclk=1
ChIJFYgtv95zhlQRe0bIbHlmEyc,PetSmart,"Chain featuring a range of pets, supplies & food (most offer grooming, boarding & other services).",False,1389,https://www.petsmart.ca/stores/ca/bc/vancouver-store2362.html%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle-my-business,PetSmart (Owner),https://www.google.com/maps/contrib/112775375282689044523,https://lh5.googleusercontent.com/p/AF1QipM4NWsaSTdnQass7DHUTN2KsUIIJH1KK8q1fKcM=w408-h306-k-no,Pet supply store,Pet supply store,4.2,9 a.m.-9 p.m.,,(604) 879-2602,"PetSmart, 409 W 2nd Ave, Vancouver, BC V5Y 3N7","grooming, fish, parking, training, adoption, tank, cashier, job, employee, check",https://www.google.com/maps/place/PetSmart/data=!4m7!3m6!1s0x548673debf2d8815:0x271366796cc8467b!8m2!3d49.2675458!4d-123.1134143!16s%2Fg%2F11b6nql9qk!19sChIJFYgtv95zhlQRe0bIbHlmEyc?authuser=0&hl=en&rclk=1
ChIJcdZJ3x11hlQRs4U0nu-g388,PetSmart,"Chain featuring a range of pets, supplies & food (most offer grooming, boarding & other services).",False,1274,https://www.petsmart.ca/stores/ca/bc/richmond-store2239.html%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle-my-business,PetSmart (Owner),https://www.google.com/maps/contrib/104144737499227020329,https://lh5.googleusercontent.com/p/AF1QipM1AVlyHAahZgOuN7ZBLBX0n9x1rRZ6SDjK_ijb=w408-h306-k-no,Pet supply store,Pet supply store,4.2,9 a.m.-9 p.m.,,(604) 233-1348,"PetSmart, 9751 Bridgeport Rd #120, Richmond, BC V6X 1S3","fish, grooming, adoption, cashier, parking, tank, training, hamsters, stock, salon",https://www.google.com/maps/place/PetSmart/data=!4m7!3m6!1s0x5486751ddf49d671:0xcfdfa0ef9e3485b3!8m2!3d49.1930018!4d-123.1147847!16s%2Fg%2F1tjdwls1!19sChIJcdZJ3x11hlQRs4U0nu-g388?authuser=0&hl=en&rclk=1
ChIJtz6M1152hlQRMwTq-OZmp1E,PetSmart,"Chain featuring a range of pets, supplies & food (most offer grooming, boarding & other services).",False,1026,https://www.petsmart.ca/stores/ca/bc/burnaby-store2411.html%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle-my-business,PetSmart (Owner),https://www.google.com/maps/contrib/102770322055480010564,https://lh5.googleusercontent.com/p/AF1QipNtzUrwdnN7mLBDbOpOzI8ooBflee7vmEqt-cBe=w426-h240-k-no,Pet supply store,Pet supply store,4.1,9 a.m.-9 p.m.,,(604) 454-1360,"PetSmart, 6200 McKay Ave #100, Burnaby, BC V5H 4L8","hamsters, grooming, cashier, training, job, betta, adoption, salon, trim, stocked",https://www.google.com/maps/place/PetSmart/data=!4m7!3m6!1s0x5486765ed78c3eb7:0x51a766e6f8ea0433!8m2!3d49.226975!4d-123.0035399!16s%2Fg%2F11bwqbm7fc!19sChIJtz6M1152hlQRMwTq-OZmp1E?authuser=0&hl=en&rclk=1
ChIJORZTphh2hlQRJdNCSeubfsI,PetSmart,"Chain featuring a range of pets, supplies & food (most offer grooming, boarding & other services).",False,995,https://www.petsmart.ca/stores/ca/bc/burnaby-store1477.html%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle-my-business,PetSmart (Owner),https://www.google.com/maps/contrib/105301834301848760028,https://lh5.googleusercontent.com/p/AF1QipOn0hwrO_bW87itYtpYGrCpWsnI7oE7IVyBuljO=w426-h240-k-no,Pet supply store,Pet supply store,4.3,9 a.m.-9 p.m.,,(604) 435-7742,"PetSmart, 5771 Marine Wy, Burnaby, BC V5J 0A6","grooming, fish, deals, nail, salon, parking, cashier, shelves, aisle, checkout",https://www.google.com/maps/place/PetSmart/data=!4m7!3m6!1s0x54867618a6531639:0xc27e9beb4942d325!8m2!3d49.200192!4d-122.9769926!16s%2Fg%2F1tkp4nzd!19sChIJORZTphh2hlQRJdNCSeubfsI?authuser=0&hl=en&rclk=1
ChIJ__qsomIJdVQRLFSEDW_9fzM,PetSmart,"Chain featuring a range of pets, supplies & food (most offer grooming, boarding & other services).",False,869,https://www.petsmart.ca/stores/ca/bc/north-vancouver-store1684.html%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle-my-business,PetSmart (Owner),https://www.google.com/maps/contrib/115799794771295763081,https://lh5.googleusercontent.com/p/AF1QipPSiZ3hD1NMc3HyRhsdZKg9PawCghTeZldX4kZX=w408-h306-k-no,Pet supply store,Pet supply store,4,9 a.m.-9 p.m.,,(604) 924-9889,"PetSmart, 1325 Main St, North Vancouver, BC V7J 1C5","fish, grooming, sell, adoption, cashier, pet food, shelves, hamsters, salon, big box",https://www.google.com/maps/place/PetSmart/data=!4m7!3m6!1s0x54750962a2acfaff:0x337ffd6f0d84542c!8m2!3d49.305925!4d-123.0377829!16s%2Fg%2F1tm8k8bq!19sChIJ__qsomIJdVQRLFSEDW_9fzM?authuser=0&hl=en&rclk=1
ChIJMfBkIadvhlQROWsTynLtg44,PetSmart,"Chain featuring a range of pets, supplies & food (most offer grooming, boarding & other services).",False,230,https://www.petsmart.ca/stores/ca/bc/west-vancouver-store3188.html%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle-my-business,PetSmart (Owner),https://www.google.com/maps/contrib/103978296838249448862,https://lh5.googleusercontent.com/p/AF1QipMppru4ttZcAIn5qWfW4hu_-5zOkMjcyAam7DQX=w408-h725-k-no,Pet supply store,Pet supply store,4.1,9 a.m.-9 p.m.,,(604) 925-0236,"PetSmart, 895 Park Royal N, West Vancouver, BC V7T 1J2","fish, food, price, grooming, sell, toys, tank, training, cents, behaviour",https://www.google.com/maps/place/PetSmart/data=!4m7!3m6!1s0x54866fa72164f031:0x8e83ed72ca136b39!8m2!3d49.3278976!4d-123.1400487!16s%2Fg%2F11fflxl8_d!19sChIJMfBkIadvhlQROWsTynLtg44?authuser=0&hl=en&rclk=1
